1,2,3
6,54,5
6,57,20
6,64,25
6,71,10
6,76,10
6,83,25
7,35,16
7,44,8
7,64,64
7,93,16
8,12,2
8,14,5
8,16,1
8,17,5
8,22,2
8,23,5
8,24,2
8,27,12
8,28,3
8,29,2
8,30,1
8,31,6
8,33,1
8,34,15
8,35,7
8,36,2
8,37,8
8,38,1
8,39,10
8,40,7
8,41,4
8,42,1
8,44,20
8,45,4
8,46,1
8,51,2
8,55,2
8,57,9
8,58,1
8,59,1
8,60,1
8,62,1
8,63,3
8,64,10
8,65,2
8,67,1
8,69,2
8,71,19
8,73,1
8,76,12
8,77,1
8,79,3
8,83,5
8,87,1
8,90,1
8,91,1
8,94,3
8,96,2
8,98,1
8,99,14
8,101,1
8,103,2
8,105,3
9,10,15
9,11,9
9,21,2
9,23,3
9,28,2
9,35,1
9,41,5
9,44,4
9,45,1
9,46,2
9,59,3
9,61,2
9,62,1
9,64,32
9,71,2
9,75,18
9,76,8
9,79,7
9,80,1
9,81,2
9,83,4
9,84,2
9,88,3
9,94,6
9,95,2
9,103,8
10,11,10
10,41,5
10,59,5
10,64,25
10,75,30
10,76,5
10,79,5
10,88,5
10,94,10
10,103,10
11,21,1
11,23,2
11,27,1
11,28,2
11,32,5
11,35,1
11,41,3
11,44,3
11,45,1
11,46,2
11,50,2
11,58,1
11,59,2
11,61,1
11,62,1
11,64,23
11,71,1
11,75,12
11,76,8
11,79,6
11,80,1
11,81,1
11,83,2
11,84,2
11,88,2
11,94,6
11,95,1
11,103,5
12,17,2
12,22,2
12,23,1
12,24,2
12,26,8
12,28,13
12,29,6
12,34,11
12,35,15
12,36,6
12,37,1
12,38,1
12,41,5
12,42,1
12,44,15
12,45,1
12,46,4
12,53,2
12,54,2
12,55,9
12,57,14
12,58,2
12,59,2
12,62,3
12,64,31
12,67,3
12,71,4
12,72,3
12,76,16
12,79,15
12,83,35
12,89,2
12,94,2
12,96,1
12,99,3
13,16,4
13,17,1
13,21,2
13,23,3
13,25,2
13,27,13
13,28,3
13,30,5
13,31,6
13,34,2
13,41,4
13,44,9
13,45,1
13,46,2
13,48,6
13,50,2
13,51,2
13,53,4
13,55,2
13,57,5
13,58,1
13,59,1
13,62,4
13,64,9
13,67,2
13,69,5
13,71,8
13,73,3
13,76,5
13,77,1
13,79,13
13,81,1
13,82,6
13,83,3
13,85,3
13,88,2
13,89,3
13,94,2
13,95,1
13,96,2
13,101,1
13,105,1
14,23,5
14,30,5
14,31,10
14,41,5
14,44,10
14,45,5
14,60,5
14,62,5
14,64,5
14,71,40
14,105,5
15,24,4
15,27,8
15,31,4
15,33,4
15,34,4
15,35,4
15,37,4
15,39,4
15,40,4
15,41,5
15,42,4
15,44,29
15,45,4
15,47,11
15,51,8
15,53,4
15,55,12
15,57,4
15,60,17
15,62,4
15,64,4
15,71,16
15,76,6
15,79,15
15,83,4
15,94,8
15,96,3
15,99,4
16,17,8
16,21,15
16,22,3
16,23,4
16,24,3
16,27,42
16,28,24
16,29,7
16,30,12
16,31,15
16,34,3
16,41,8
16,42,3
16,43,3
16,44,25
16,45,14
16,46,3
16,48,9
16,49,1
16,50,4
16,52,20
16,53,5
16,56,22
16,57,6
16,58,4
16,59,5
16,62,9
16,63,32
16,64,103
16,68,20
16,69,7
16,70,1
16,71,43
16,73,10
16,74,9
16,75,3
16,76,38
16,77,3
16,78,6
16,79,43
16,82,15
16,83,1
16,84,1
16,86,5
16,87,3
16,89,10
16,92,2
16,93,1
16,94,7
16,99,1
16,100,2
16,101,1
16,105,13
17,20,8
17,23,6
17,24,2
17,27,69
17,28,4
17,29,2
17,31,3
17,33,2
17,34,3
17,35,3
17,36,1
17,37,2
17,41,6
17,42,1
17,44,12
17,45,21
17,46,10
17,48,13
17,49,9
17,51,2
17,53,8
17,57,13
17,59,2
17,61,2
17,62,5
17,63,18
17,64,16
17,67,2
17,69,3
17,70,4
17,71,23
17,73,3
17,74,6
17,75,4
17,76,23
17,79,5
17,83,7
17,85,1
17,88,1
17,89,1
17,90,21
17,91,8
17,94,4
17,96,3
17,97,12
17,98,8
17,100,13
17,102,3
17,103,2
17,105,7
18,21,8
18,41,8
18,42,1
18,59,1
18,64,18
18,76,17
18,96,8
19,22,15
19,24,5
19,27,5
19,28,5
19,56,15
19,74,10
19,93,5
20,23,8
20,44,16
20,45,8
20,62,8
20,64,24
20,76,16
20,79,8
20,94,16
21,22,5
21,23,2
21,24,2
21,25,1
21,27,30
21,28,19
21,29,3
21,30,14
21,31,17
21,33,6
21,34,4
21,41,16
21,42,4
21,43,1
21,44,13
21,45,7
21,47,3
21,50,8
21,53,7
21,56,6
21,57,1
21,58,3
21,59,6
21,61,5
21,64,102
21,68,4
21,69,5
21,70,1
21,71,14
21,73,3
21,74,1
21,76,24
21,77,1
21,78,1
21,79,8
21,80,2
21,81,1
21,82,2
21,83,11
21,84,6
21,86,6
21,87,1
21,88,1
21,89,4
21,92,6
21,93,3
21,94,17
21,95,1
21,96,1
21,99,1
21,101,2
21,103,4
21,105,1
22,23,2
22,24,16
22,27,19
22,28,12
22,30,1
22,31,1
22,34,4
22,35,3
22,36,2
22,37,2
22,39,6
22,40,2
22,41,1
22,42,7
22,43,6
22,44,22
22,45,8
22,46,2
22,51,10
22,53,4
22,54,1
22,55,2
22,56,11
22,57,13
22,58,6
22,59,4
22,61,3
22,62,1
22,64,55
22,71,20
22,74,6
22,76,24
22,77,6
22,78,1
22,79,18
22,83,14
22,84,1
22,85,2
22,86,1
22,87,6
22,92,9
22,93,3
22,94,5
22,96,1
22,101,2
22,102,1
22,105,1
22,108,1
23,24,2
23,27,14
23,28,9
23,29,2
23,30,1
23,31,10
23,33,1
23,34,22
23,35,6
23,36,3
23,37,9
23,38,1
23,39,4
23,40,4
23,41,10
23,42,6
23,44,36
23,45,5
23,46,6
23,48,3
23,49,2
23,51,4
23,52,5
23,53,8
23,54,2
23,55,3
23,56,2
23,57,7
23,59,5
23,60,1
23,61,3
23,62,4
23,63,8
23,64,24
23,67,3
23,71,22
23,72,2
23,75,5
23,76,25
23,77,2
23,79,35
23,80,2
23,81,5
23,82,1
23,83,18
23,84,3
23,85,4
23,87,2
23,88,3
23,89,2
23,90,1
23,91,1
23,92,1
23,93,1
23,94,6
23,95,3
23,96,4
23,98,1
23,99,17
23,101,3
23,102,1
23,103,1
23,105,2
24,26,1
24,27,14
24,28,4
24,30,1
24,31,1
24,33,2
24,34,6
24,35,5
24,36,1
24,37,6
24,39,6
24,40,2
24,41,5
24,42,3
24,43,2
24,44,18
24,45,7
24,46,1
24,47,2
24,51,7
24,53,3
24,54,1
24,55,5
24,56,4
24,57,14
24,58,2
24,59,3
24,60,3
24,61,4
24,62,1
24,63,3
24,64,29
24,67,1
24,71,14
24,74,2
24,76,23
24,77,3
24,78,1
24,79,18
24,81,2
24,83,11
24,85,5
24,86,1
24,87,3
24,89,1
24,92,4
24,93,1
24,94,6
24,99,4
24,101,2
24,102,1
24,103,3
24,105,1
25,27,19
25,28,6
25,30,30
25,31,15
25,35,3
25,42,6
25,44,15
25,46,2
25,48,42
25,49,24
25,51,4
25,53,7
25,55,4
25,56,25
25,58,24
25,59,1
25,62,2
25,63,6
25,64,98
25,65,1
25,66,2
25,67,2
25,71,7
25,73,4
25,74,30
25,76,9
25,79,16
25,82,6
25,86,12
25,89,12
25,94,2
25,101,1
25,106,6
25,108,36
26,28,8
26,34,1
26,35,5
26,41,5
26,44,8
26,57,3
26,58,4
26,64,2
26,67,1
26,71,3
26,76,11
26,79,13
26,83,8
27,28,46
27,29,7
27,30,21
27,31,62
27,32,5
27,33,8
27,34,24
27,35,9
27,37,10
27,38,6
27,39,16
27,40,22
27,41,39
27,42,9
27,43,3
27,44,105
27,45,51
27,46,49
27,47,4
27,48,52
27,49,20
27,50,20
27,51,16
27,52,15
27,53,50
27,54,10
27,55,26
27,56,38
27,57,39
27,58,8
27,59,31
27,60,11
27,61,17
27,62,26
27,63,45
27,64,319
27,65,4
27,66,2
27,67,9
27,69,21
27,70,8
27,71,178
27,72,1
27,73,33
27,74,34
27,75,6
27,76,110
27,77,10
27,78,6
27,79,207
27,80,3
27,81,6
27,82,18
27,83,35
27,84,7
27,85,2
27,86,16
27,87,6
27,88,8
27,89,16
27,90,45
27,91,19
27,92,3
27,93,5
27,94,81
27,95,5
27,96,35
27,97,15
27,98,19
27,99,7
27,100,13
27,101,13
27,102,3
27,103,32
27,105,17
27,106,4
27,107,10
27,108,6
28,29,12
28,30,4
28,31,8
28,33,1
28,34,8
28,35,13
28,36,2
28,37,9
28,38,1
28,39,4
28,40,2
28,41,9
28,42,4
28,43,3
28,44,52
28,45,10
28,46,10
28,49,1
28,50,9
28,52,15
28,53,6
28,55,4
28,56,21
28,57,14
28,58,4
28,59,6
28,61,2
28,62,5
28,63,25
28,64,75
28,67,9
28,68,4
28,71,21
28,74,9
28,76,33
28,77,7
28,78,1
28,79,82
28,80,4
28,81,3
28,82,7
28,83,28
28,84,5
28,85,5
28,86,5
28,87,4
28,88,1
28,89,4
28,92,4
28,93,2
28,94,22
28,99,6
28,101,2
28,102,1
28,103,6
28,105,3
28,106,5
28,108,1
29,30,3
29,31,1
29,35,6
29,36,2
29,41,2
29,44,15
29,45,1
29,46,2
29,50,4
29,52,5
29,56,7
29,57,10
29,59,1
29,63,8
29,64,22
29,67,2
29,71,3
29,74,2
29,76,22
29,77,1
29,79,34
29,81,1
29,82,1
29,83,12
29,84,5
29,85,1
29,87,1
29,89,1
29,92,1
29,94,9
29,106,8
30,31,11
30,34,2
30,41,3
30,42,4
30,43,1
30,44,24
30,45,5
30,46,2
30,47,2
30,48,16
30,49,2
30,51,6
30,53,6
30,55,6
30,56,11
30,57,4
30,58,3
30,60,1
30,61,3
30,62,8
30,63,7
30,64,57
30,70,2
30,71,20
30,73,6
30,74,13
30,76,15
30,77,1
30,78,1
30,79,9
30,82,13
30,83,4
30,86,3
30,87,1
30,89,4
30,93,3
30,99,1
30,105,7
30,106,2
30,108,3
31,33,1
31,34,6
31,35,1
31,37,1
31,39,1
31,40,1
31,41,16
31,42,2
31,44,52
31,45,19
31,46,7
31,47,3
31,48,12
31,49,5
31,51,4
31,52,5
31,53,15
31,55,5
31,56,5
31,57,4
31,58,4
31,59,17
31,60,5
31,61,4
31,62,16
31,63,8
31,64,68
31,65,2
31,67,3
31,68,1
31,69,5
31,70,3
31,71,44
31,73,7
31,74,9
31,76,23
31,77,3
31,78,1
31,79,35
31,80,2
31,81,14
31,82,6
31,83,9
31,84,2
31,85,1
31,86,6
31,87,3
31,88,2
31,89,7
31,90,1
31,92,5
31,94,7
31,95,3
31,96,11
31,97,2
31,99,4
31,101,9
31,102,2
31,104,10
31,105,11
31,108,5
32,50,10
32,58,5
32,64,15
32,76,10
32,79,10
32,94,10
33,34,3
33,35,2
33,37,5
33,39,3
33,40,1
33,41,7
33,42,1
33,44,16
33,45,1
33,47,2
33,48,1
33,51,3
33,53,3
33,55,4
33,57,2
33,60,3
33,62,1
33,64,9
33,71,6
33,76,2
33,77,1
33,79,3
33,83,7
33,84,4
33,87,1
33,90,3
33,91,1
33,94,2
33,98,1
33,99,4
33,100,1
34,35,28
34,36,21
34,37,37
34,38,13
34,39,45
34,40,43
34,41,24
34,42,15
34,44,64
34,45,9
34,46,5
34,47,2
34,48,8
34,49,4
34,51,12
34,53,48
34,55,47
34,57,65
34,58,7
34,59,10
34,60,3
34,62,3
34,64,125
34,65,20
34,67,10
34,71,78
34,72,23
34,74,12
34,75,4
34,76,42
34,77,2
34,78,4
34,79,57
34,82,2
34,83,55
34,85,3
34,86,3
34,87,2
34,88,4
34,89,6
34,93,4
34,94,13
34,95,5
34,96,6
34,99,85
34,102,3
34,103,4
34,105,10
35,36,10
35,37,16
35,38,9
35,39,21
35,40,16
35,41,10
35,42,4
35,44,31
35,45,6
35,46,8
35,47,2
35,51,4
35,53,10
35,54,1
35,55,7
35,57,25
35,58,2
35,59,3
35,60,3
35,62,3
35,64,52
35,65,5
35,66,6
35,67,10
35,71,33
35,72,4
35,76,29
35,77,1
35,79,18
35,80,1
35,83,32
35,84,2
35,87,1
35,89,1
35,93,4
35,94,13
35,95,2
35,96,2
35,99,23
35,103,2
36,37,4
36,38,3
36,39,3
36,40,1
36,41,3
36,42,3
36,44,5
36,45,3
36,53,2
36,55,3
36,57,6
36,64,10
36,67,2
36,72,7
36,76,10
36,79,5
36,83,21
36,94,3
36,96,3
36,99,9
37,38,7
37,39,26
37,40,12
37,41,10
37,42,4
37,44,42
37,45,4
37,46,4
37,47,2
37,51,6
37,53,1
37,55,9
37,57,14
37,58,1
37,59,3
37,60,3
37,62,1
37,64,18
37,65,2
37,71,27
37,72,2
37,76,13
37,77,4
37,79,14
37,83,10
37,85,2
37,87,4
37,94,4
37,95,2
37,96,1
37,99,34
37,103,6
37,105,2
38,39,14
38,40,12
38,41,3
38,42,1
38,44,2
38,45,3
38,57,4
38,58,1
38,59,2
38,64,11
38,65,2
38,71,20
38,72,2
38,76,6
38,79,6
38,83,5
38,89,1
38,95,2
38,96,1
38,99,11
38,103,2
39,40,38
39,41,9
39,42,2
39,44,26
39,45,4
39,47,2
39,51,4
39,53,1
39,55,6
39,57,22
39,58,4
39,59,5
39,60,3
39,62,1
39,64,34
39,65,8
39,71,41
39,76,18
39,77,2
39,79,14
39,83,7
39,87,2
39,89,2
39,94,8
39,95,3
39,99,39
39,103,4
40,41,13
40,42,3
40,44,15
40,45,1
40,47,2
40,51,6
40,53,1
40,55,5
40,57,14
40,58,4
40,59,10
40,60,3
40,62,1
40,64,32
40,65,8
40,71,27
40,76,13
40,79,6
40,83,3
40,89,6
40,94,4
40,99,35
40,103,4
41,42,8
41,44,53
41,45,12
41,46,1
41,47,5
41,48,6
41,49,3
41,50,2
41,51,3
41,53,12
41,54,2
41,55,14
41,56,4
41,57,17
41,58,5
41,59,8
41,60,9
41,61,3
41,62,7
41,63,11
41,64,84
41,65,1
41,66,6
41,67,14
41,69,5
41,70,9
41,71,49
41,72,4
41,73,3
41,74,4
41,75,6
41,76,45
41,77,4
41,78,5
41,79,54
41,80,3
41,81,10
41,82,3
41,83,32
41,84,7
41,85,1
41,86,1
41,87,2
41,88,3
41,89,7
41,90,4
41,91,2
41,94,13
41,95,2
41,96,7
41,97,2
41,98,2
41,99,12
41,101,1
41,103,6
41,104,5
41,105,7
41,108,1
42,43,2
42,44,24
42,45,7
42,47,2
42,51,4
42,53,9
42,54,3
42,55,4
42,56,6
42,57,2
42,58,3
42,59,5
42,60,3
42,62,2
42,63,6
42,64,31
42,65,1
42,66,4
42,67,4
42,70,1
42,71,12
42,72,2
42,74,3
42,75,9
42,76,24
42,77,2
42,78,1
42,79,14
42,80,1
42,81,2
42,83,9
42,84,1
42,87,2
42,88,1
42,89,1
42,92,1
42,93,1
42,94,4
42,95,1
42,96,1
42,99,10
42,101,3
42,102,3
42,103,1
42,105,3
42,106,1
43,44,2
43,45,2
43,57,1
43,58,2
43,64,13
43,71,5
43,76,2
43,77,3
43,78,1
43,79,14
43,81,4
43,83,4
43,87,2
43,92,1
43,93,1
43,94,10
43,102,1
43,105,1
44,45,25
44,46,26
44,47,18
44,48,22
44,49,4
44,50,5
44,51,19
44,52,25
44,53,41
44,54,2
44,55,41
44,56,23
44,57,38
44,58,7
44,59,9
44,60,28
44,61,10
44,62,23
44,63,88
44,64,210
44,65,8
44,67,8
44,69,6
44,70,17
44,71,96
44,72,4
44,73,4
44,74,20
44,75,9
44,76,98
44,77,10
44,79,159
44,80,2
44,81,17
44,82,12
44,83,66
44,84,14
44,85,4
44,86,5
44,87,10
44,88,5
44,89,9
44,90,3
44,91,4
44,92,8
44,93,4
44,94,52
44,95,10
44,96,12
44,97,1
44,98,4
44,99,47
44,100,1
44,101,7
44,102,8
44,103,4
44,104,5
44,105,19
44,106,6
44,107,5
44,108,5
45,46,4
45,47,2
45,48,5
45,49,1
45,50,6
45,51,19
45,52,5
45,53,11
45,55,12
45,56,3
45,57,11
45,58,2
45,59,14
45,60,4
45,61,6
45,62,19
45,63,22
45,64,70
45,66,4
45,67,5
45,69,1
45,70,4
45,71,40
45,72,2
45,73,3
45,74,1
45,75,7
45,76,46
45,77,6
45,78,5
45,79,37
45,80,1
45,81,1
45,82,1
45,83,15
45,84,8
45,85,2
45,87,6
45,88,1
45,89,3
45,94,12
45,95,1
45,96,4
45,99,6
45,102,3
45,105,17
45,106,1
45,107,5
45,108,1
46,48,5
46,49,3
46,53,10
46,57,7
46,59,1
46,61,2
46,62,5
46,64,48
46,65,2
46,66,4
46,67,6
46,71,44
46,74,3
46,76,17
46,79,43
46,80,2
46,81,9
46,82,2
46,83,19
46,84,10
46,85,3
46,88,2
46,89,1
46,94,28
46,95,3
46,96,9
46,97,3
46,99,1
46,100,4
46,101,1
46,102,2
46,103,13
46,104,5
46,105,4
46,107,5
46,108,3
47,51,4
47,53,2
47,55,6
47,57,2
47,60,21
47,62,2
47,64,6
47,71,18
47,76,8
47,79,15
47,83,2
47,94,4
47,96,9
47,99,2
48,49,13
48,50,2
48,51,7
48,53,14
48,54,4
48,55,8
48,57,12
48,58,6
48,59,2
48,60,2
48,61,3
48,62,12
48,64,44
48,65,2
48,67,2
48,71,22
48,73,6
48,74,4
48,76,9
48,78,2
48,79,16
48,82,13
48,83,3
48,85,2
48,86,3
48,89,8
48,90,7
48,91,3
48,94,7
48,95,1
48,96,3
48,97,5
48,98,3
48,100,1
48,105,7
48,106,1
48,108,9
49,53,4
49,54,2
49,55,1
49,56,3
49,57,7
49,58,5
49,60,1
49,61,1
49,64,27
49,71,6
49,72,1
49,74,5
49,76,3
49,79,5
49,80,1
49,81,3
49,82,3
49,86,2
49,88,1
49,89,5
49,90,2
49,91,1
49,94,1
49,97,2
49,98,1
49,100,5
49,105,1
49,108,6
50,53,17
50,55,1
50,58,2
50,59,6
50,64,34
50,71,2
50,76,16
50,79,25
50,89,3
50,94,25
50,100,4
50,106,8
51,53,19
51,55,19
51,57,5
51,59,8
51,60,6
51,62,4
51,64,9
51,66,2
51,67,2
51,71,23
51,73,4
51,76,25
51,79,11
51,82,6
51,83,2
51,90,3
51,91,1
51,94,4
51,98,1
51,99,12
51,100,1
52,56,10
52,63,40
52,71,10
52,76,5
52,79,40
52,82,5
53,54,8
53,55,29
53,56,6
53,57,16
53,58,2
53,59,26
53,60,4
53,62,5
53,63,8
53,64,92
53,65,9
53,66,16
53,67,15
53,70,6
53,71,37
53,72,3
53,73,4
53,74,6
53,75,10
53,76,29
53,78,4
53,79,53
53,81,4
53,82,12
53,83,8
53,84,2
53,85,1
53,88,4
53,89,4
53,90,11
53,91,4
53,93,4
53,94,21
53,95,5
53,96,4
53,97,2
53,98,4
53,99,5
53,100,2
53,103,3
53,105,3
54,57,8
54,58,1
54,59,3
54,60,2
54,64,11
54,65,1
54,66,4
54,67,2
54,71,8
54,75,10
54,76,10
54,79,10
54,81,4
54,83,5
54,84,2
54,90,4
54,91,2
54,95,2
54,98,2
55,57,16
55,59,10
55,60,9
55,62,7
55,64,59
55,66,4
55,67,7
55,71,27
55,72,6
55,73,4
55,74,2
55,76,18
55,77,1
55,78,4
55,79,40
55,82,6
55,83,24
55,87,1
55,89,2
55,94,8
55,96,2
55,99,11
55,105,3
56,57,8
56,59,1
56,63,22
56,64,61
56,68,4
56,70,4
56,71,14
56,74,26
56,76,26
56,79,23
56,82,14
56,86,1
56,89,2
56,92,3
56,93,6
56,100,13
56,101,4
56,103,3
56,105,1
56,106,4
57,58,3
57,59,7
57,60,5
57,61,9
57,62,6
57,63,8
57,64,92
57,65,6
57,67,6
57,69,1
57,70,6
57,71,90
57,72,7
57,73,1
57,74,10
57,76,60
57,77,3
57,79,80
57,81,6
57,82,2
57,83,61
57,84,4
57,85,15
57,87,2
57,89,5
57,90,7
57,91,3
57,92,2
57,93,3
57,94,16
57,95,2
57,96,8
57,98,3
57,99,19
57,100,4
57,101,3
57,102,8
57,103,4
57,105,8
58,59,1
58,61,2
58,62,1
58,64,42
58,65,3
58,66,4
58,67,4
58,69,3
58,71,5
58,73,1
58,74,2
58,76,12
58,77,2
58,78,1
58,79,12
58,81,3
58,82,1
58,83,2
58,86,5
58,87,2
58,89,2
58,92,1
58,94,3
58,99,6
58,105,1
58,108,6
59,61,4
59,62,4
59,64,55
59,65,1
59,66,6
59,67,5
59,71,9
59,75,15
59,76,24
59,77,1
59,78,2
59,79,46
59,81,4
59,83,10
59,84,1
59,85,1
59,86,1
59,88,2
59,89,5
59,94,6
59,95,1
59,96,1
59,99,5
59,101,2
59,102,4
59,103,4
59,105,3
60,62,4
60,64,5
60,71,39
60,76,14
60,79,24
60,83,3
60,90,2
60,91,1
60,94,6
60,96,15
60,98,1
60,99,3
60,105,1
61,62,2
61,64,29
61,69,1
61,70,1
61,71,11
61,73,1
61,74,4
61,76,9
61,78,1
61,79,17
61,80,2
61,81,4
61,83,9
61,84,2
61,85,2
61,86,6
61,89,1
61,94,4
61,95,1
61,97,1
61,101,2
61,102,2
61,103,1
61,105,1
62,63,4
62,64,35
62,67,3
62,69,1
62,70,4
62,71,22
62,73,3
62,74,2
62,76,9
62,77,4
62,79,19
62,80,2
62,82,7
62,83,6
62,84,3
62,87,3
62,88,1
62,89,12
62,94,6
62,99,1
62,105,8
62,108,1
63,64,7
63,70,25
63,71,33
63,74,5
63,76,27
63,79,94
63,82,8
63,83,1
63,88,1
63,105,7
63,106,1
64,65,18
64,66,26
64,67,51
64,68,33
64,69,13
64,70,13
64,71,166
64,72,10
64,73,20
64,74,59
64,75,39
64,76,282
64,77,19
64,78,7
64,79,270
64,80,9
64,81,21
64,82,23
64,83,140
64,84,27
64,85,10
64,86,49
64,87,13
64,88,20
64,89,38
64,90,2
64,91,2
64,92,20
64,93,25
64,94,123
64,95,15
64,96,14
64,97,2
64,98,2
64,99,25
64,100,8
64,101,17
64,102,1
64,103,36
64,105,27
64,106,5
64,107,35
64,108,28
65,66,6
65,67,4
65,71,7
65,74,2
65,76,4
65,79,6
65,94,2
65,95,2
65,99,12
66,67,16
66,71,2
66,76,10
66,79,10
66,94,4
67,71,6
67,72,1
67,76,19
67,77,1
67,79,19
67,80,2
67,81,5
67,83,6
67,86,6
67,88,1
67,89,2
67,94,5
67,97,1
67,99,12
67,101,5
67,104,5
67,108,1
68,76,12
68,86,4
68,89,4
68,92,5
69,71,14
69,73,9
69,76,8
69,78,1
69,79,2
69,82,2
69,105,3
70,71,12
70,74,2
70,76,11
70,79,33
70,86,1
70,105,6
71,72,7
71,73,24
71,74,16
71,75,5
71,76,81
71,77,4
71,78,10
71,79,189
71,80,1
71,81,10
71,82,7
71,83,52
71,84,5
71,85,6
71,86,4
71,87,4
71,89,14
71,90,16
71,91,8
71,92,8
71,93,1
71,94,16
71,95,11
71,96,19
71,97,7
71,98,8
71,99,33
71,100,11
71,101,5
71,102,4
71,103,12
71,105,26
71,106,1
72,74,2
72,76,5
72,79,6
72,83,15
72,89,1
72,96,2
72,99,6
72,105,1
73,76,7
73,78,3
73,79,10
73,82,6
73,90,2
73,96,6
73,105,4
74,76,20
74,79,23
74,82,4
74,83,16
74,86,5
74,88,3
74,89,6
74,93,2
74,94,2
74,95,1
74,99,1
74,100,2
74,101,2
74,105,7
74,106,3
74,107,5
74,108,4
75,76,30
75,79,36
75,81,10
75,83,12
75,84,8
75,88,6
75,94,19
75,95,5
75,102,12
75,103,12
75,105,4
76,77,4
76,78,4
76,79,136
76,80,5
76,81,17
76,82,6
76,83,71
76,84,13
76,85,8
76,86,6
76,87,4
76,88,7
76,89,10
76,90,10
76,91,5
76,92,9
76,94,43
76,95,6
76,96,12
76,97,2
76,98,5
76,99,27
76,100,1
76,101,11
76,102,7
76,103,12
76,104,5
76,105,11
76,106,1
76,107,15
76,108,4
77,78,1
77,79,13
77,81,1
77,83,4
77,85,2
77,87,5
77,88,1
77,92,2
77,93,1
77,94,4
77,99,3
77,102,1
77,105,2
78,79,8
78,80,1
78,86,1
78,87,1
78,96,2
78,105,4
79,80,3
79,81,39
79,82,14
79,83,115
79,84,23
79,85,23
79,86,14
79,87,5
79,88,7
79,89,14
79,90,1
79,91,1
79,92,5
79,93,3
79,94,97
79,95,13
79,96,18
79,98,1
79,99,9
79,101,4
79,102,14
79,103,12
79,104,5
79,105,16
79,106,20
79,108,6
80,84,2
80,86,3
80,89,2
81,83,26
81,84,7
81,85,3
81,87,1
81,88,1
81,89,1
81,92,1
81,94,12
81,95,4
81,99,5
81,101,1
81,102,4
81,103,1
81,104,25
81,108,5
82,89,2
82,105,2
83,84,18
83,85,10
83,86,4
83,87,3
83,88,3
83,89,6
83,92,3
83,94,51
83,95,8
83,96,11
83,99,17
83,101,4
83,102,12
83,103,12
83,104,5
83,105,16
83,106,3
83,108,3
84,94,8
84,95,1
84,102,4
84,103,1
84,108,1
85,87,1
85,92,1
85,94,5
85,96,5
85,101,1
85,102,1
85,103,2
85,105,1
86,89,3
